NAME_1,Population,Population (1980) (People),Inset
Barima-Waini,27643,18329,C
Cuyuni-Mazaruni,18375,14390,C
Demerara-Mahaica,311563,317475,C
East Berbice-Corentyne,109652,152386,C
Essequibo Islands-West Demerara,107785,104750,C
Mahaica-Berbice,49820,53898,C
Pomeroon-Supenaam,46810,42341,C
Potaro-Siparuni,11077,4485,C
Upper Demerara-Berbice,39992,38641,C
Upper Takutu-Upper Essequibo,24238,12873,C
