name,Population,GDP,Inset
Brest,1347000,5318784440,C
Gomel,1386600,5680649224,C
Grodno,1025800,4649256104,C
Mogilev,1023000,3905212616,C
Minsk,1472000,8336094080,C
Minsk City,2020600,15224452016,C
Vitebsk,1133400,4189099648,C
