name,Population,Population (1998) (People),Inset
Eastern Region,13173,12574,C
Northeastern Region,30600,26632,C
Capital Region,233034,164606,C
Northwestern Region,7322,9785,C
Southern Region,28399,20489,C
Southern Peninsula,27829,15715,C
Westfjords,7115,8656,C
Western Region,16662,13924,C
